timestamp,total_bytes,throughput_mbps,dst_ip_entropy,avg_fan_out
1769863995217,603660,0.115,4.406,2.1
1769864029092,353182,0.067,4.429,2.06
1769864029144,353182,0.067,4.429,2.06
1769864034098,348619,0.066,4.44,2.06
1769864039085,153790,0.029,4.416,2.02
1769864041513,153790,0.029,4.416,2.02
1769864041561,153790,0.029,4.416,2.02
1769864046725,143947,0.027,4.467,2.0
1769864051717,139015,0.027,4.508,2.02
1769864056730,131316,0.025,4.525,2.0
1769864061728,133002,0.025,4.531,1.98
1769864066709,4707043,0.898,4.497,2.02
1769864071722,7646194,1.458,4.442,2.02
1769864076722,7630733,1.455,4.363,2.06
1769864081740,7905412,1.508,4.243,2.0
1769864086732,8412346,1.605,4.194,1.96
1769864091534,8863879,1.691,4.226,1.98
1769864096546,9121091,1.74,4.216,1.96
1769864098832,9121091,1.74,4.216,1.96
1769864098881,9121091,1.74,4.216,1.96
1769864099670,9511574,1.814,4.181,1.92
1769864099716,9511574,1.814,4.181,1.92
1769864104732,9928933,1.894,4.107,2.0
1769864109697,10137756,1.934,4.039,1.98
1769864114750,10628505,2.027,4.002,2.0
1769864119722,12272135,2.341,3.994,2.0
1769864124728,4991498,0.952,4.18,1.98
1769864129719,4168327,0.795,4.243,1.98
1769864134714,4365988,0.833,4.192,1.98
1769864139718,3946717,0.753,4.255,1.94
1769864144725,3375846,0.644,4.226,1.98
1769864149721,1872599,0.357,4.35,2.02
1769864154711,1252318,0.239,4.361,2.04
1769864159733,1220846,0.233,4.278,2.0
1769864164734,907558,0.173,4.3,2.04
1769864166485,907558,0.173,4.3,2.04
1769864166550,907558,0.173,4.3,2.04
1769864170183,566477,0.108,4.34,2.05
1769864170247,566477,0.108,4.34,2.05
1769864175728,573972,0.109,4.273,1.96
1769864180716,355655,0.068,4.257,1.93
1769864185709,332617,0.063,4.303,1.95
1769864190720,563892,0.108,4.232,1.89
1769864195734,538157,0.103,4.206,1.89
1769864200736,680763,0.13,4.2,1.89
1769864205729,808131,0.154,4.377,2.02
1769864210741,907090,0.173,4.506,2.0
1769864215718,991089,0.189,4.499,2.1
1769864220720,1042792,0.199,4.548,2.13
1769864225726,1321936,0.252,4.47,2.09
1769864230718,1401461,0.267,4.464,2.09
1769864253723,1379222,0.263,4.384,2.15
1769864313733,1969983,0.376,4.165,1.93
1769864373731,7953733,1.517,4.309,2.16
1769864433727,20976341,4.001,4.358,2.04
