1769672515,66566,2.683,1.36
1769672515,66566,2.683,1.36
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672520,14035,2.866,1.5
1769672555,4649,2.7,1.56
1769672555,4649,2.7,1.56
1769672565,16096,2.522,1.43
1769672565,16096,2.522,1.43
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672570,26693,3.154,1.75
1769672575,42717,2.732,1.83
1769672580,53380,2.846,1.67
1769672580,53380,2.846,1.67
1769672781,26332,2.852,1.6
1769672781,26332,2.852,1.6
1769672781,26332,2.852,1.6
1769672786,30804,2.406,1.33
1769672786,30804,2.406,1.33
1769672791,13363,2.845,1.43
1769672796,16721,2.867,1.42
1769672801,35324,2.953,1.5
1769672806,14113,2.931,1.33
1769672811,25481,2.837,1.31
1769672816,9543,3.078,1.6
1769672821,7460,2.689,1.2
1769672826,194458,3.259,1.47
1769672831,187325,3.201,1.5
1769672836,219796,2.873,1.18
1769672841,74781,3.209,1.43
1769672846,24581,2.638,1.56
1769672851,10213,2.046,1.25
1769672856,29729,3.346,1.43
1769672861,20934,2.692,1.4
1769672866,20851,2.646,1.25
1769672871,126624,3.885,1.73
1769672876,14167,3.698,1.83
1769672891,28740,3.511,1.8
1769672951,5642,2.84,1.36
1769673001,30451,2.649,1.75
1769673006,29794,3.214,1.73
1769673006,29794,3.214,1.73
1769673011,17857,2.807,1.86
1769673016,27565,2.7,1.56
1769673021,39701,2.371,1.67
1769673026,21665,3.24,1.62
1769673031,16102,2.406,1.6
1769673036,95890,2.676,1.7
1769673041,11471,2.918,1.5
1769673046,16428,3.261,1.46
1769673051,31190,3.578,2.0
1769673056,25835,3.137,1.73
1769673061,13570,2.664,1.25
1769673066,33145,3.25,1.6
1769673071,50669,2.732,1.57
1769673081000,49186,3.324,1.79
1769673081000,49186,3.324,1.79
1769673081000,49186,3.324,1.79
1769673086000,7869,2.507,1.86
1769673092000,26416,2.281,1.5
1769673097000,15116,2.617,2.0
1769673102000,21868,2.522,1.67
1769673107000,6874,3.293,1.23
1769673112000,29479,3.403,1.83
1769673117000,8183,2.922,1.43
1769673122000,32546,2.715,1.46
1769673127000,15289,2.985,1.73
1769673132000,32675,2.931,1.7
1769673137000,21111,3.409,1.36
1769673142000,22439,2.826,1.7
1769673147000,55004,3.461,1.8
1769673147000,55004,3.461,1.8
1769673147000,55004,3.461,1.8
1769673152000,44729,2.873,1.67
1769673157000,108371,3.013,1.79
1769673162000,22062,3.346,1.73
1769673167000,96766,3.603,1.93
1769673172000,36874,3.078,1.6
1769673177000,37727,3.198,1.85
1769673182000,36726,3.252,1.5
1769673187000,73115,3.149,1.6
1769673192000,14606,3.337,1.88
1769673197000,12492,2.855,1.5
1769673202000,23005,2.55,1.38
1769673207000,17347,2.595,1.38
1769673277000,50027,3.422,1.79
1769673277000,50027,3.422,1.79
1769673277000,50027,3.422,1.79
1769673277000,50027,3.422,1.79
1769673277000,50027,3.422,1.79
1769673282000,57949,3.364,1.8
